RefNo,Name,COUNTRY,REGION,Constituency/District,Year First Elected/Appointed,Out/Not Out (When First Elected),Year Out,Year Leaving Office,LGBTQ,Gender Identity,Party Affiliation,Party Ideology Family,Legislative Body,Level of Government,Position,Biography/Website,Elected/Appointed,City,State,Age,Current,Source,Race/Ethnicity
652,Elizabeth Kerekere,New Zealand,Australasia,Green Party List,2020,Out,2020,#N/A,Queer,#N/A,Green Party,Green,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
653,Ricardo Menendez March,New Zealand,Australasia,Green Party List,2020,Out,2020,#N/A,Gay,#N/A,Green Party,Green,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
757,Glen Bennett,New Zealand,Australasia,New Plymouth,2020,Out,2020,#N/A,Gay,#N/A,Labour party,Left,MP,Parliament,,https://www.labour.org.nz/glenbennett,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
49,Bent Høie,Norway,Scandinavia,#N/A,2013,#N/A,#N/A,#N/A,Gay,#N/A,Conservative Party,Center Right,Cabinet Ministers,Executive,Health,https://www.norden.org/en/person/bent-hoie,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
50,Knut Olav Åmås,Norway,Scandinavia,#N/A,2013,#N/A,#N/A,#N/A,Gay,#N/A,Conservative Party,Center Right,Cabinet Ministers,Executive,Culture & Church,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
103,Per-Kristian Foss,Norway,Scandinavia,#N/A,2001,#N/A,#N/A,2005,Gay,#N/A,Conservative Party,Center Right,Cabinet Ministers,Executive,Finance,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
106,Per-Kristian Foss,Norway,Scandinavia,#N/A,2002,#N/A,#N/A,2002,Gay,#N/A,Conservative Party,Center Right,Cabinet Ministers,Executive,Acting PM,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
113,Anne Holt,Norway,Western Europe,#N/A,1996,#N/A,#N/A,1997,Lesbian,#N/A,Labour Party,Left,Cabinet Ministers,Executive,Justice,https://anneholt.com/,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
391,Wenche Lowzow,Norway,Scandinavia,Oslo,1977,Not Out,1979,1985,Lesbian,#N/A,Conservative Party,Center Right,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
410,Anders Hornslien,Norway,Scandinavia,Oslo,1993,Out,1993,2001,Gay,#N/A,Labour Party,Left,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
420,Andre Kvakkestad,Norway,Scandinavia,Akershus,2001,Not Out,2002,2005,Gay,#N/A,Progress Party,Center Right,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
421,Siri Hall Arnoy,Norway,Scandinavia,Akershus,2001,Out,2001,2005,Lesbian,#N/A,Socialist Left,Left,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
444,Ole Henrik Grønn,Norway,Scandinavia,Østfold,2005,Not Out,2008,2009,Gay,#N/A,Christian Democratic Party,Center Right,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
480,Per Kristian Foss,Norway,Scandinavia,Oslo,1981,Out,1981,2013,Gay,#N/A,Conservative Party,Center Right,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
481,Andre Dahl,Norway,Scandinavia,Akershus,2005,Out,2005,2013,Gay,#N/A,Conservative Party,Center Right,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
654,Bent Hoie,Norway,Scandinavia,Rogaland,2001,Out,2001,#N/A,Gay,#N/A,Conservative Party,Center Right,MP,Parliament,,https://hoyre.no/,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
655,Anette Trettebergstuen,Norway,Scandinavia,Hedmark,2005,Out,2005,#N/A,Lesbian,#N/A,Labour Party,Left,MP,Parliament,,https://www.stortinget.no/no/Representanter-og-komiteer/Representantene/Representant/?perid=ATR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
656,Carlos Bruce,Peru,South America,Lima,2006,Not Out,2014,#N/A,Gay,#N/A,Possible Peru Alliance,Left,MP,Parliament,,http://www4.congreso.gob.pe/congresista/2006/cbruce/presentacion.htm,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
657,Alberto de Belaunde,Peru,South America,Lima,2016,Not Out,2016,#N/A,Gay,#N/A,Peruvians for Change,Center Right,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
658,Geraldine Roman,Philippines,Asia,Bataan's 1st District,2016,Out,2016,#N/A,Transgender,Woman,Liberal Party,Left,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
146,Robert Biedron,Poland,East/Central Europe,#N/A,2019,Out,2019,#N/A,Gay,#N/A,Spring,Left,European Parliament,Multi-State Legislature,,https://robertbiedron.pl/,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
320,Robert Biedroń,Poland,East/Central Europe,#N/A,2014,#N/A,#N/A,2018,Gay,Male,Palikot Movement,Left,#N/A,Mayor,Mayor,#N/A,#N/A,Słupsk,#N/A,44,no,https://teara.govt.nz/en/photograph/28886/carmen-and-georgina-beyer,#N/A
498,Robert Biedron,Poland,East/Central Europe,Gdynia,2011,Out,2011,2015,Gay,#N/A,Palikot,Left,MP,Parliament,,https://robertbiedron.pl/,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
499,Anna Grodzka,Poland,East/Central Europe,13 - Kraków,2011,Out,2011,2015,Transgender,Woman,Palikot/Greens (2014),Left,MP,Parliament,,https://europeangreens.eu/people/anna-grodzka,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
458,Miguel Vale de Almeida,Portugal,western Europe,#N/A,2009,Out,2009,2011,Gay,#N/A,Socialist,Left,MP,Parliament,,http://miguelvaledealmeida.net/,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
659,Alexandre Quintanilha,Portugal,western Europe,#N/A,2015,Out,2015,#N/A,Gay,#N/A,Socialist Party,Left,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
51,Alberto Lastra Power,Puerto Rico,North America,#N/A,2015,#N/A,#N/A,#N/A,Gay,#N/A,Independent,Independent,Cabinet Ministers,Executive,Housing,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
52,Ana Brnabić,Serbia,East/Central Europe,#N/A,2016,#N/A,#N/A,#N/A,Lesbian,#N/A,Serbian Progressive Party,Center Right,Cabinet Ministers,Executive,Public Administration,https://www.srbija.gov.rs/biografija/en/17/ana-brnabic.php,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
53,Ana Brnabić,Serbia,East/Central Europe,#N/A,2017,#N/A,#N/A,#N/A,Lesbian,#N/A,Serbian Progressive Party,Center Right,Cabinet Ministers,Executive,Prime Minister,https://www.srbija.gov.rs/biografija/en/17/ana-brnabic.php,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
660,Stanislav Fořt,Slovakia,East/Central Europe,Bratislava,2011,Out,2011,#N/A,Gay,#N/A,Freedom and Solidarity,Center Right,MP,Parliament,,https://pace.coe.int/en/members/6621/fort,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1097,Edita Angyalová,Slovakia,East/Central Europe,#N/A,2002,Out,#N/A,2007,Lesbian,Woman,Social Democratic Party,Left,MP,Parliament,,https://sk.wikipedia.org/wiki/Edita_Angyalová,#N/A,#N/A,#N/A,#N/A,No,#N/A,White
54,Lynne Brown,South Africa,Africa,#N/A,2014,#N/A,#N/A,#N/A,Lesbian,#N/A,African National Congress,Left,Cabinet Ministers,Executive,Public Enterprises,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
215,Beyers Smit,South Africa,Africa,Limpopo,2014,#N/A,#N/A,#N/A,Gay,#N/A,Democratic Party,Left,South African National Council of Provinces,Parliament,,https://www.parliament.gov.za/person-details/423,Elected,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
486,Ian Davidson,South Africa,Africa,Gauteng,1999,Out,1999,2014,Gay,#N/A,Democratic Alliance,Center,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
527,Ian Ollis,South Africa,Africa,Gauteng,2009,Out,2009,2018,Gay,#N/A,Democratic Alliance,Center,MP,Parliament,,https://www.linkedin.com/in/ianollis,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
528,Lynne Brown,South Africa,Africa,Cape Town,2014,Out,2014,2018,Lesbian,#N/A,African National Congress,Left,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
542,Marius Redelinghuys,South Africa,Africa,Gauteng,2014,Out,2014,2019,Gay,#N/A,Democratic Alliance,Center,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
543,Gordon Mackay,South Africa,Africa,Johannesburg & Cape Town,2014,Out,2014,2019,Gay,#N/A,Democratic Alliance,Center,MP,Parliament,,https://www.pa.org.za/person/gordon-mackay/,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
544,Patrick Atkinson,South Africa,Africa,Gauteng,2014,Out,2014,2019,Gay,#N/A,Democratic Alliance,Center,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
545,Dean MacPherson,South Africa,Africa,Kwa Zulu-Natal,2014,Out,2014,2019,Gay,#N/A,Democratic Alliance,Center,MP,Parliament,,https://www.parliament.gov.za/person-details/142,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
661,Mike Waters,South Africa,Africa,"Kempton Park & Edenvale, Gauteng",1999,Out,1999,#N/A,Gay,#N/A,Democratic Alliance,Center,MP,Parliament,,https://www.da.org.za/people/michael-waters-mp,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
662,Zakhele Mbhele,South Africa,Africa,DASO (student sector),2014,Out,2014,#N/A,Gay,#N/A,Democratic Alliance,Center,MP,Parliament,,https://www.pa.org.za/blog/mr-zakhele-mbhele-da,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
663,Manny de Freitas,South Africa,Africa,"Johannesburg South, Gauteng",2009,Out,2009,#N/A,Gay,#N/A,Democratic Alliance,Center,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
664,Dion George,South Africa,Africa,"Midrand/Sandton North, Gauteng",2008,Out,2008,#N/A,Gay,#N/A,Democratic Alliance,Center,MP,Parliament,,https://www.da.org.za/people/dion-george,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
665,Michael Cardo,South Africa,Africa,Western Cape,2014,Out,2014,#N/A,Gay,#N/A,Democratic Alliance,Center,MP,Parliament,,https://www.parliament.gov.za/person-details/28,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
764,Lynne Brown,South Africa,Africa,Western Cape,2008,Out,2008,2009,Lesbian,#N/A,African National Congress,Left,Premier,Premiers and Governors,,#N/A,#N/A,#N/A,Western Cape,#N/A,#N/A,#N/A,#N/A
55,Fernando Grande-Marlaska,Spain,Western Europe,#N/A,2018,#N/A,#N/A,2018,Gay,#N/A,Socialist Workers Party,Left,Cabinet Ministers,Executive,Interior,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
56,Màxim Huerta,Spain,Western Europe,#N/A,2017,#N/A,#N/A,#N/A,Gay,#N/A,Socialist Party,Left,Cabinet Ministers,Executive,Culture and Sport,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
114,Jeronimo Saavedra Acevedo,Spain,Western Europe,#N/A,1995,#N/A,2000,1996,Gay,#N/A,Socialist Workers Party,Left,Cabinet Ministers,Executive,Education and Sciences,https://www.congreso.es/web/guest/busqueda-de-diputados?p_p_id=diputadomodule&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_diputadomodule_mostrarFicha=true&codParlamentario=265&idLegislatura=I&idLegislatura=false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
115,Jeronimo Saavedra Acevedo,Spain,Western Europe,#N/A,1993,#N/A,2000,1995,Gay,#N/A,Socialist Workers Party,Left,Cabinet Ministers,Executive,Public Administration,https://www.congreso.es/web/guest/busqueda-de-diputados?p_p_id=diputadomodule&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_diputadomodule_mostrarFicha=true&codParlamentario=265&idLegislatura=I&idLegislatura=false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
165,José María Mendiluce Pereiro,Spain,Western Europe,#N/A,1999,Not Out,2003,2004,Gay,#N/A,Socialist Workers Party,Left,European Parliament,Multi-State Legislature,,https://www.europarl.europa.eu/meps/en/2007/JOSE+MARIA_MENDILUCE+PEREIRO/history/5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
216,Jerónimo Saavedra Acevedo,Spain,Western Europe,Las Palmas,1996,#N/A,#N/A,2003,Gay,#N/A,Socialist Workers Party,Left,Spanish Senate,Parliament,,#N/A,Elected,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
217,Iñaki Oyarzabal de Miguel,Spain,Western Europe,Álava,2015,#N/A,#N/A,#N/A,Gay,#N/A,People's Party,Center Right,Spanish Senate,Parliament,,#N/A,Elected,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
218,María Vanessa Angustia Gómez,Spain,Western Europe,Pontevedra,2015,#N/A,#N/A,#N/A,Bisexual,#N/A,United Left,Left,Spanish Senate,Parliament,,https://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?lang=en&id1=17127&legis=12&id2=g,Elected,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
352,Francisco Maroto,Spain,Western Europe,#N/A,2005,#N/A,#N/A,2010,Gay,Male,Democratic Party,Left,#N/A,Mayor,Mayor,#N/A,#N/A,Campillo de Ranas,#N/A,44,no,https://www.belfasttelegraph.co.uk/news/world-news/how-a-gay-spanish-mayor-brought-life-back-to-his-village-28395625.html,#N/A
380,Jerónimo Acevedo,Spain,Western Europe,#N/A,1982,#N/A,#N/A,1987,gay,Male,Democratic Party,Left,#N/A,Mayor,Mayor,#N/A,#N/A,Las Palmas de Gran Canaria,NA,72,no,https://www.pinknews.co.uk/2012/02/07/finland-gay-candidate-loses-presidential-race/,#N/A
406,Miquel Iceta Llorens,Spain,Western Europe,Barcelona,1996,Not Out,1999,1999,Gay,#N/A,Socialist Workers Party,Left,MP,Parliament,,https://www.miqueliceta.com/,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
500,Maria Such,Spain,western Europe,Valencia,2015,Out,2015,2015,Lesbian,#N/A,Socialist Workers Party,Left,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
514,Jose Manuel Girela de la Fuente,Spain,western Europe,Seville,2011,Out,2011,2016,Gay,#N/A,Socialist Workers Party,Left,MP,Parliament,,https://www.congreso.es/web/guest/busqueda-de-diputados?p_p_id=diputadomodule&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_diputadomodule_mostrarFicha=true&codParlamentario=397&idLegislatura=X&false=false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
546,Javier Ignacio Maroto Aranzabal,Spain,western Europe,Álava,2016,Out,2016,2019,Gay,#N/A,People's Party,Left,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
666,Ángeles Álvarez,Spain,western Europe,Madrid,2011,Not Out,2013,#N/A,Lesbian,#N/A,Socialist Workers Party,Left,MP,Parliament,,http://angelesalvarez.com/,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
667,Antonio Hurtado Zurera,Spain,western Europe,Córdoba,2008,Not Out,2014,#N/A,Gay,#N/A,Socialist Workers Party,Left,MP,Parliament,,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=144&idLegislatura=12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
668,Ricardo Sixto Iglesias,Spain,western Europe,Valencia,2011,Out,2011,#N/A,Gay,#N/A,United Left of the Valencian Country,Left,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
669,Felipe Jesús Sicilia Alférez,Spain,western Europe,Jaén,2011,Out,2011,#N/A,Gay,#N/A,Socialist Workers Party,Left,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
670,Joan Mena,Spain,western Europe,Barcelona,2016,Out,2016,#N/A,Gay,#N/A,United Left ,Left,MP,Parliament,,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=264&idLegislatura=14,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
671,Francisco Polo Llavata,Spain,western Europe,Barcelona,2019,Out,2019,#N/A,Gay,#N/A,Socialist Workers Party,Left,MP,Parliament,,http://franciscopolo.com/,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
672,Arnau Ramírez Carner,Spain,western Europe,Barcelona,2019,Out,2019,#N/A,Gay,#N/A,Socialist Workers Party,Left,MP,Parliament,,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=197&idLegislatura=14,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
75,Tobias Billström,Sweden,Scandinavia,#N/A,2006,#N/A,#N/A,2014,Bisexual,#N/A,Moderate Party,Center  ,Cabinet Ministers,Executive,Migration,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
85,Andreas Carlgren,Sweden,Scandinavia,#N/A,2006,#N/A,#N/A,2011,Gay,#N/A,Center Party,Center,Cabinet Ministers,Executive,Environment,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
147,Malin Björk,Sweden,Scandinavia,#N/A,2014,Out,2014,#N/A,Lesbian,#N/A,Left Party,Left,European Parliament,Multi-State Legislature,,http://eu.vansterpartiet.se/,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
148,Fredrick Federley,Sweden,Scandinavia,#N/A,2014,Out,2014,#N/A,Gay,#N/A,Center Party,Center,European Parliament,Multi-State Legislature,,https://www.centerpartiet.se/federley/,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
397,Kent Carlsson,Sweden,Scandinavia,Stockholm municipality,1991,Not Out,1991,1993,Gay,#N/A,Social Democrats,Left,MP,Parliament,,https://www.riksdagen.se/sv/ledamoter-partier/ledamot/kent-carlsson_0208480761018,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
405,Andreas Carlgren,Sweden,Scandinavia,Stockholm municipality,1994,Not Out,1998,1998,Gay,#N/A,Center Party,Center,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
426,Tasso Stafilidis,Sweden,Scandinavia,Skåne County West,1998,Out,1998,2006,Gay,#N/A,Left Party,Left,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
448,Elisabeht Markstrom,Sweden,Scandinavia,Södermanlands County,1995,Not Out,2006,2010,Lesbian,#N/A,Social Democrats,Left,MP,Parliament,,https://www.riksdagen.se/sv/ledamoter-partier/ledamot/elisebeht-markstrom_0683297678211,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
464,Martin Andreasson,Sweden,Scandinavia,Stockholm municipality,2002,Out,2002,2012,Gay,#N/A,Liberal Party,Center,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
487,Ulf Holm,Sweden,Scandinavia,Skåne County West,2002,Out,2002,2014,Gay,#N/A,Green Party,Green,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
488,Fredrick Federley,Sweden,Scandinavia,Stockholm municipality,2006,Out,2006,2014,Gay,#N/A,Center Party,Center,MP,Parliament,,https://www.centerpartiet.se/federley/,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
489,Marianne Berg,Sweden,Scandinavia,Malmö municipality,2006,Out,2006,2014,Lesbian,#N/A,Left Party,Left,MP,Parliament,,https://www.riksdagen.se/sv/ledamoter-partier/ledamot/marianne-berg_695936e0-96ed-4e4a-a9ce-bc1ffbb28bfa,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
490,Hans Ekström,Sweden,Scandinavia,Södermanland County,2010,Out,2010,2014,Gay,#N/A,Social Democrats,Left,MP,Parliament,,https://www.riksdagen.se/sv/ledamoter-partier/ledamot/hans-ekstrom_b6fe54d6-ffc7-4435-9326-5baf132b3338,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
673,Tobias Billström,Sweden,Scandinavia,Malmö municipality,2002,Out,2002,#N/A,Bisexual,#N/A,Moderate,Center,MP,Parliament,,https://www.riksdagen.se/sv/ledamoter-partier/ledamot/tobias-billstrom_0918737e-5224-47aa-a86b-d64f6d820618,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
674,Borje Vestlund,Sweden,Scandinavia,Stockholm municipality,2002,Out,2002,#N/A,Gay,#N/A,Social Democrats,Left,MP,Parliament,,https://www.riksdagen.se/sv/ledamoter-partier/ledamot/borje-vestlund_0720249554818,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
675,Olof Lavesson,Sweden,Scandinavia,Malmö municipality,2006,Out,2006,#N/A,Gay,#N/A,Moderate,Center,MP,Parliament,,https://lavesson.net/,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
676,Tomas Tobe,Sweden,Scandinavia,Stockholm municipality,2006,Out,2006,#N/A,Gay,#N/A,Moderate,Center,MP,Parliament,,https://moderaterna.se/tomas-tobe,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
677,Josefin Brink,Sweden,Scandinavia,Stockholm municipality,2006,Out,2006,#N/A,Lesbian,#N/A,Left Party,Left,MP,Parliament,,https://www.riksdagen.se/sv/ledamoter-partier/ledamot/josefin-brink_7ea7b429-bc62-4329-ab58-7100a7a2370a,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
678,Hans Linde,Sweden,Scandinavia,Gothenburg municipality,2006,Out,2006,#N/A,Gay,#N/A,Left Party,Left,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
679,Hannah Bergstedt,Sweden,Scandinavia,Norrbottens Iän,2010,Out,2010,#N/A,Lesbian,#N/A,Social Democrats,Left,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
680,Jonas Gunnarsson,Sweden,Scandinavia,Värmland County,2011,Out,2011,#N/A,Gay,#N/A,Social Democrats,Left,MP,Parliament,,https://www.riksdagen.se/sv/ledamoter-partier/ledamot/jonas-gunnarsson_68236092-a044-46cf-b2b8-55bf505a5dcc,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
681,Robert Hannah,Sweden,Scandinavia,Gothenburg municipality,2014,Out,2014,#N/A,Gay,#N/A,Liberal,Center,MP,Parliament,,https://www.riksdagen.se/sv/ledamoter-partier/ledamot/robert-hannah_99a5ca75-949e-470a-9b44-e2cdbcec920b,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
682,Christian Holm,Sweden,Scandinavia,Värmland County,2006,Not Out,2013,#N/A,Gay,#N/A,Moderate,Center,MP,Parliament,,https://www.riksdagen.se/sv/ledamoter-partier/ledamot/christian-holm-barenfeld_0485476395125,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
683,Cassandra Sundin,Sweden,Scandinavia,Jämtland County,2014,Out,2014,#N/A,Bisexual,#N/A,Swedish Democrats,Radical Right,MP,Parliament,,https://www.riksdagen.se/sv/ledamoter-partier/ledamot/cassandra-sundin_e59e1306-99aa-4644-8fda-d54ff040ce98,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
684,Maria Ferm,Sweden,Scandinavia,Stockholm municipality,2010,Out,2010,#N/A,Bisexual,#N/A,Green Party,Green,MP,Parliament,,https://www.riksdagen.se/sv/ledamoter-partier/ledamot/maria-ferm_f7506cc9-0867-4ec3-a0ba-8a1a127060f8,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
685,Niklas Wykman,Sweden,Scandinavia,Stockholm municipality,2014,Out,2014,#N/A,Gay,#N/A,Moderate,Center,MP,Parliament,,https://www.riksdagen.se/sv/ledamoter-partier/ledamot/niklas-wykman_ab589436-528b-42c5-8e0c-28849b0d2294,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
686,Bo Broman,Sweden,Scandinavia,Stockholm municipality,2018,Out,2018,#N/A,Gay,#N/A,Swedish Democrats,Radical Right,MP,Parliament,,https://www.riksdagen.se/sv/ledamoter-partier/ledamot/bo-broman_24c753af-11ea-4c6f-90f9-f4142fc71e19,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
101,Claude Janiak,Switzerland,Western Europe,#N/A,2005,#N/A,#N/A,2006,Gay,#N/A,Social Democratic Party,Left,Cabinet Ministers,Executive,President,http://www.janiak.ch/,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
219,Claude Janiak,Switzerland,Western Europe,Bâle-Campagne,2007,#N/A,#N/A,#N/A,Gay,#N/A,Social Democratic Party,Left,Swiss Senate,Parliament,,https://www.parlament.ch/en/biografie/claude-janiak/477,Elected,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
282,Corine Mauch,Switzerland,Western Europe,#N/A,2009,#N/A,#N/A,#N/A,Lesbian,Woman,Democratic Party,Left,#N/A,Mayor,Mayor,#N/A,#N/A,Zürich,#N/A,60,yes,http://gomag.com/article/out_lesbian_becomes_mayor/,#N/A
431,Marianne Huguenin,Switzerland,western Europe,Vaud,2003,Not Out,2004,2007,Lesbian,#N/A,Labor Party,Left,MP,Parliament,,https://www.parlament.ch/de/biografie/marianne-huguenin/1146,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
432,Claude Janiak,Switzerland,western Europe,Basel-Country,1999,Out,1999,2007,Gay,#N/A,Social Democrats,Left,MP,Parliament,,https://www.parlament.ch/de/biografie/claude-janiak/477,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
459,Doris Stump,Switzerland,western Europe,Aargau,2003,Out,2003,2011,Lesbian,#N/A,Social Democrats,Left,MP,Parliament,,https://www.parlament.ch/de/biografie/doris-stump/358,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
501,Daniel Stolz (Proud),Switzerland,western Europe,Basel City,2012,Out,2012,2015,Gay,#N/A,Federal Democratic Party,Center,MP,Parliament,,https://www.parlament.ch/de/biografie/daniel-stolz/4126,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
